Customer_ID,Order_ID,Purchase_Date,Product,Quantity,Sales
C167,5000,2025-01-01,Monitor,3,65206
C118,5001,2025-01-02,Printer,3,48203
C158,5002,2025-01-03,Mouse,2,67632
C148,5003,2025-01-04,Mobile,1,35710
C197,5004,2025-01-05,Mobile,4,37662
C137,5005,2025-01-07,Laptop,1,75521
C156,5006,2025-01-08,Printer,3,74020
C140,5007,2025-01-09,Tablet,1,32255
C162,5008,2025-01-10,Laptop,4,6195
C193,5009,2025-01-11,Monitor,3,13894
C195,5010,2025-01-13,Printer,3,57265
C177,5011,2025-01-14,Laptop,4,14394
C170,5012,2025-01-15,Laptop,4,68978
C159,5013,2025-01-16,Tablet,3,25012
C116,5014,2025-01-18,Printer,4,77517
C131,5015,2025-01-19,Monitor,3,19773
C127,5016,2025-01-20,Laptop,3,5316
C176,5017,2025-01-21,Mouse,4,52305
C144,5018,2025-01-22,Tablet,2,76423
C126,5019,2025-01-24,Tablet,1,75528
C150,5020,2025-01-25,Monitor,3,11729
C152,5021,2025-01-26,Monitor,2,58376
C192,5022,2025-01-27,Mobile,3,66579
C112,5023,2025-01-29,Keyboard,2,11705
C199,5024,2025-01-30,Printer,4,31427
C195,5025,2025-01-31,Mouse,2,19495
C115,5026,2025-02-01,Mouse,4,62281
C171,5027,2025-02-02,Monitor,3,37355
C139,5028,2025-02-04,Mobile,2,53054
C175,5029,2025-02-05,Printer,1,70399
C117,5030,2025-02-06,Keyboard,1,11325
C187,5031,2025-02-07,Mouse,4,54539
C141,5032,2025-02-08,Mobile,2,65232
C136,5033,2025-02-10,Keyboard,2,19363
C169,5034,2025-02-11,Mouse,4,28684
C166,5035,2025-02-12,Monitor,3,76051
C145,5036,2025-02-13,Printer,4,76726
C189,5037,2025-02-15,Mouse,2,23868
C164,5038,2025-02-16,Monitor,1,20912
C141,5039,2025-02-17,Laptop,1,29386
C164,5040,2025-02-18,Tablet,2,22557
C109,5041,2025-02-19,Mouse,3,58385
C195,5042,2025-02-21,Mouse,1,14151
C175,5043,2025-02-22,Monitor,1,19898
C108,5044,2025-02-23,Keyboard,1,68299
C102,5045,2025-02-24,Mobile,3,49575
C164,5046,2025-02-26,Mobile,4,10209
C189,5047,2025-02-27,Mouse,4,12802
C103,5048,2025-02-28,Tablet,3,76659
C119,5049,2025-03-01,Printer,3,14214
C174,5050,2025-03-02,Mobile,3,20115
C112,5051,2025-03-04,Tablet,1,49738
C159,5052,2025-03-05,Printer,4,6718
C104,5053,2025-03-06,Printer,3,56613
C160,5054,2025-03-07,Mouse,1,11528
C188,5055,2025-03-08,Monitor,1,71957
C157,5056,2025-03-10,Monitor,2,64437
C134,5057,2025-03-11,Keyboard,1,46425
C180,5058,2025-03-12,Printer,1,62426
C104,5059,2025-03-13,Laptop,4,19115
C156,5060,2025-03-15,Tablet,2,39719
C186,5061,2025-03-16,Mobile,2,72842
C167,5062,2025-03-17,Keyboard,3,19141
C197,5063,2025-03-18,Mobile,4,70929
C108,5064,2025-03-19,Mouse,4,5026
C193,5065,2025-03-21,Mouse,2,28761
C141,5066,2025-03-22,Mobile,1,74498
C137,5067,2025-03-23,Monitor,1,8115
C184,5068,2025-03-24,Mobile,4,35900
C162,5069,2025-03-26,Laptop,2,71879
C115,5070,2025-03-27,Mouse,4,2924
C181,5071,2025-03-28,Laptop,3,4191
C150,5072,2025-03-29,Laptop,4,47550
C185,5073,2025-03-30,Printer,4,40106
C105,5074,2025-04-01,Keyboard,1,64887
C102,5075,2025-04-02,Tablet,3,52791
C191,5076,2025-04-03,Printer,3,10102
C102,5077,2025-04-04,Laptop,1,56161
C146,5078,2025-04-05,Mouse,3,14341
